Circuit ID,Source of ID,Names
cSPr,DHBA,SP in rostral cingulate cortex
cSPmi,DHBA,SP in midcingulate cortex
cSPc,DHBA,SP in caudal cingulate cortex
cSPsg,DHBA,SP in subgenual (subcallosal) cingulate cortex
peSP,DHBA,SP in periallocortex
SPpc,DHBA,SP in perirhinal cortex
SPpcr,DHBA,SP in rostral perirhinal cortex
SPpcc,DHBA,SP in caudal perirhinal cortex
SPpas,DHBA,SP in parasubicular cortex
SPec,DHBA,SP in entorhinal cortex
SPlec,DHBA,SP in lateral (anterior) entorhinal cortex
SPmec,DHBA,SP in medial (posterior) entorhinal cortex
SPprs,DHBA,SP in presubicular cortex
SPprsr,DHBA,SP in rostral presubicular cortex
SPprsc,DHBA,SP in caudal presubicular cortex (postsubiculum)
SPrs,DHBA,SP in retrosplenial cortex
SPIag,DHBA,SP in agranular insular cortex
alSP,DHBA,SP in allocortex
SPhip,DHBA,SP in hippocampal proper
SPhipr,DHBA,SP in rostral hippocampal proper
SPhipc,DHBA,SP in caudal hippocampal proper
SPsub,DHBA,SP in subicular cortex
SPsubr,DHBA,SP in rostral subicular cortex
SPsubc,DHBA,SP in caudal subicular cortex
SPpir,DHBA,SP in piriform cortex
IZ,DHBA,intermediate zone
fIZ,DHBA,IZ in frontal neocortex
fIZfp,DHBA,IZ in frontal polar cortex
fIZdm,DHBA,IZ in dorsomedial frontal cortex
fIZdl,DHBA,IZ in dorsolateral prefrontal cortex
fIZvl,DHBA,IZ in ventrolateral prefrontal cortex
fIZor,DHBA,IZ in orbital frontal cortex
fIZm1,DHBA,IZ in posteror frontal cortex (motor cortex)
pIZ,DHBA,IZ in parietal neocortex
pIZs1,DHBA,IZ in primary somatosensory cortex
pIZdm,DHBA,IZ in dorsomedial parietal cortex (area 7m)
pIZpd,DHBA,IZ in posterosuperior (dorsal) parietal cortex
pIZpv,DHBA,IZ in posteroinferior (ventral) parietal cortex
tIZ,DHBA,IZ in temporal neocortex
tIZdl,DHBA,IZ in dorsolateral temporal cortex
tIZa1,DHBA,IZ in primary auditory cortex
tIZsl,DHBA,IZ in superolateral temporal cortex
tIZps,DHBA,IZ in polysensory temporal cortex
tIZpi,DHBA,IZ in parainsular temporal cortex
tIZvl,DHBA,IZ in ventrolateral temporal cortex
tIZml,DHBA,IZ in midlateral temporal cortex
tIZil,DHBA,IZ in inferolateral temporal cortex
tIZmi,DHBA,IZ in midinferior temporal cortex
tIZ36,DHBA,IZ in rostral midinferior temporal cortex (area 36)
tIZtf,DHBA,IZ in caudal midinferior temporal cortex (area TF)
tIZph,DHBA,IZ in posterior parahippocampal cortex
tIZmt,DHBA,IZ in medial temporal-occipital cortex
tIZlt,DHBA,IZ in lateral temporal-occipital cortex
tIZtp,DHBA,IZ in temporal polar cortex
oIZ,DHBA,IZ in occipital neocortex
oIZpro,DHBA,IZ in area prostriata
oIZv1,DHBA,IZ in primary visual cortex
oIZexs,DHBA,IZ in extrastriate cortex
oIZdm,DHBA,IZ in dorsomedial extrastriate cortex (V2)
oIZvm,DHBA,IZ in ventromedial extrastriate cortex (VP)
oIZml,DHBA,IZ in midlateral extrastriate cortex (area 19)
iIZ,DHBA,IZ in insular neocortex
iIZdg,DHBA,IZ in dysgranular insular cortex
iIZgr,DHBA,IZ in granular insular cortex
cIZ,DHBA,IZ in cingulate neocortex
cIZr,DHBA,IZ in rostral cingulate cortex
cIZmi,DHBA,IZ in midcingulate cortex
cIZc,DHBA,IZ in caudal cingulate cortex
cIZsg,DHBA,IZ in subgenual (subcallosal) cingulate cortex
peIZ,DHBA,IZ in periallocortex
IZpc,DHBA,IZ in perirhinal cortex
IZpcr,DHBA,IZ in rostral perirhinal cortex
IZpcc,DHBA,IZ in caudal perirhinal cortex
IZec,DHBA,IZ in entorhinal cortex
IZlec,DHBA,IZ in lateral (anterior) entorhinal cortex
IZmec,DHBA,IZ in medial (posterior) entorhinal cortex
IZprs,DHBA,IZ in presubicular cortex
IZprsr,DHBA,IZ in rostral presubicular cortex
IZprsc,DHBA,IZ in caudal presubicular cortex
IZrs,DHBA,IZ in retrosplenial cortex
alIZ,DHBA,IZ in allocortex
IZhip,DHBA,IZ in hippocampal proper
IZhipr,DHBA,IZ in rostral hippocampal proper
IZhipc,DHBA,IZ in caudal hippocampal proper
IZsub,DHBA,IZ in subicular cortex
IZsubr,DHBA,IZ in rostral subicular cortex
IZsubc,DHBA,IZ in caudal subicular cortex
SZ,DHBA,subventricular zone
fSZ,DHBA,SZ in frontal neocortex
fSZfp,DHBA,SZ in frontal polar cortex
fSZfpo,DHBA,outer SZ in frontal polar cortex
fSZfpi,DHBA,inner SZ in frontal polar cortex
fSZdm,DHBA,SZ in dorsomedial frontal cortex
